SEQ,BLOCK,ADDRESS,OFFSET,VALUE,MASK,CALLER,PURPOSE
0033,PLL,0x009948a0,0x0a0,0x00000000,0x000000ff,pll_db_commit_8996,Reset SM control 5
0034,PLL,0x009948a4,0x0a4,0x00000000,0x000000ff,pll_db_commit_8996,Kvco count register 1
0035,PLL,0x009948a8,0x0a8,0x00000000,0x000000ff,pll_db_commit_8996,Kvco count register 2
0036,PLL,0x009948ac,0x0ac,0x00000014,0x000000ff,pll_db_commit_8996,Calibration config 0
0037,PLL,0x009948b4,0x0b4,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 1
0038,PLL,0x009948b8,0x0b8,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 2
0039,PLL,0x009948bc,0x0bc,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 3
0040,PLL,0x009948c0,0x0c0,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 4
0041,PLL,0x009948c4,0x0c4,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 5
0042,PLL,0x009948e8,0x0e8,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 6
0043,PLL,0x009948f0,0x0f0,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 7
0044,PLL,0x009948f4,0x0f4,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 8
0045,PLL,0x009948f8,0x0f8,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 9
0046,PLL,0x009948fc,0x0fc,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 10
0047,PLL,0x00994900,0x100,0x00000000,0x000000ff,pll_db_commit_8996,Calibration config 11
0048,PLL,0x00994904,0x104,0x00000020,0x000000ff,pll_db_commit_8996,Efuse config 1
0049,PHY,0x00994410,0x010,0x0000001e,0x000000ff,pll_db_commit_8996,PHY common control 0
0050,PHY,0x00994414,0x014,0x00000000,0x000000ff,pll_db_commit_8996,PHY common control 1
0051,PHY,0x0099441c,0x01c,0x00000000,0x000000ff,pll_db_commit_8996,PHY common control 2
0052,PHY,0x00994420,0x020,0x00000000,0x000000ff,pll_db_commit_8996,PHY common control 3
0053,PLL,0x0099485c,0x05c,0x00000010,0x000000ff,dsi_pll_enable_seq_8996,Enable PLL common output buffer
0054,PHY,0x00994448,0x048,0x00000001,0x000000ff,dsi_pll_enable_seq_8996,Enable PLL clock generation kick
0055,MMCC,0x008c2124,0x124,0x00000200,0x00000700,mdss_dsi_clk_ctrl,Select DSI0 PLL Byte Mux
0056,MMCC,0x008c2120,0x120,0x00000001,0x00000001,mdss_dsi_clk_ctrl,Trigger Byte0 RCG update
0057,MMCC,0x008c233c,0x33c,0x00000001,0x00000001,mdss_dsi_clk_ctrl,Enable mdss_byte0_clk branch
0058,MMCC,0x008c2004,0x004,0x00000200,0x00000700,mdss_dsi_clk_ctrl,Select DSI0 PLL Pixel Mux
0059,MMCC,0x008c2000,0x000,0x00000001,0x00000001,mdss_dsi_clk_ctrl,Trigger Pclk0 RCG update
0060,MMCC,0x008c2314,0x314,0x00000001,0x00000001,mdss_dsi_clk_ctrl,Enable mdss_pclk0_clk branch
0061,MMCC,0x008c2164,0x164,0x00000000,0x00000700,mdss_dsi_clk_ctrl,Select XO as Esc0 source
0062,MMCC,0x008c2160,0x160,0x00000001,0x00000001,mdss_dsi_clk_ctrl,Trigger Esc0 RCG update
0063,MMCC,0x008c2344,0x344,0x00000001,0x00000001,mdss_dsi_clk_ctrl,Enable mdss_esc0_clk branch
0064,PHY,0x00994440,0x040,0x000006ff,0x0000ffff,mdss_dsi_phy_init,Data lane 0 drive strength
0065,PHY,0x009944c0,0x0c0,0x000006ff,0x0000ffff,mdss_dsi_phy_init,Data lane 1 drive strength
0066,PHY,0x00994540,0x140,0x000006ff,0x0000ffff,mdss_dsi_phy_init,Data lane 2 drive strength
0067,PHY,0x009945c0,0x1c0,0x000006ff,0x0000ffff,mdss_dsi_phy_init,Data lane 3 drive strength
0068,PHY,0x00994640,0x240,0x000000ff,0x0000ffff,mdss_dsi_phy_init,Clock lane drive strength
0069,DSI_CTRL,0x00994018,0x018,0x0000001b,0x0000003f,mdss_dsi_phy_init,Program t_clk_post (27 cycles)
0070,DSI_CTRL,0x009942a0,0x2a0,0x0000002b,0x0000003f,mdss_dsi_phy_init,Program t_clk_pre (43 cycles)
0071,DSI_CTRL,0x009941f4,0x1f4,0x03000104,0xffffffff,mdss_dsi_host_init,Enable 4 data lanes + CLK
0072,DSI_CTRL,0x009940f0,0x0f0,0x00000001,0x00000001,mdss_dsi_host_init,Enable DSI Controller
