STEP,CHECKPOINT,BLOCK,ADDRESS,OFFSET,VALUE,MASK,NAME,PURPOSE
0035,D8M3-30,PLL,0x009948a8,0x0a8,0x00000000,0x000000ff,PLL_KVCO_COUNT2,Kvco count 2
0036,D8M3-30,PLL,0x009948ac,0x0ac,0x00000014,0x000000ff,PLL_CAL_CFG0,Calibration config 0
0037,D8M3-30,PLL,0x009948b4,0x0b4,0x00000000,0x000000ff,PLL_CAL_CFG1,Calibration config 1
0038,D8M3-30,PLL,0x009948b8,0x0b8,0x00000000,0x000000ff,PLL_CAL_CFG2,Calibration config 2
0039,D8M3-30,PLL,0x009948bc,0x0bc,0x00000000,0x000000ff,PLL_CAL_CFG3,Calibration config 3
0040,D8M3-30,PLL,0x009948c0,0x0c0,0x00000000,0x000000ff,PLL_CAL_CFG4,Calibration config 4
0041,D8M3-30,PLL,0x009948c4,0x0c4,0x00000000,0x000000ff,PLL_CAL_CFG5,Calibration config 5
0042,D8M3-30,PLL,0x009948e8,0x0e8,0x00000000,0x000000ff,PLL_CAL_CFG6,Calibration config 6
0043,D8M3-30,PLL,0x009948f0,0x0f0,0x00000000,0x000000ff,PLL_CAL_CFG7,Calibration config 7
0044,D8M3-30,PLL,0x009948f4,0x0f4,0x00000000,0x000000ff,PLL_CAL_CFG8,Calibration config 8
0045,D8M3-30,PLL,0x009948f8,0x0f8,0x00000000,0x000000ff,PLL_CAL_CFG9,Calibration config 9
0046,D8M3-30,PLL,0x009948fc,0x0fc,0x00000000,0x000000ff,PLL_CAL_CFG10,Calibration config 10
0047,D8M3-30,PLL,0x00994900,0x100,0x00000000,0x000000ff,PLL_CAL_CFG11,Calibration config 11
0048,D8M3-30,PLL,0x00994904,0x104,0x00000020,0x000000ff,PLL_EFUSE_1,Efuse config 1
0049,D8M3-30,PHY,0x00994410,0x010,0x0000001e,0x000000ff,PHY_CMN_CTRL_0,PHY common control 0
0050,D8M3-30,PHY,0x00994414,0x014,0x00000000,0x000000ff,PHY_CMN_CTRL_1,PHY common control 1
0051,D8M3-30,PHY,0x0099441c,0x01c,0x00000000,0x000000ff,PHY_CMN_CTRL_2,PHY common control 2
0052,D8M3-30,PHY,0x00994420,0x020,0x00000000,0x000000ff,PHY_CMN_CTRL_3,PHY common control 3
0053,D8M3-40,PLL,0x0099485c,0x05c,0x00000010,0x000000ff,PLL_CMN_CONFIG,Common PLL output buffer enable
0054,D8M3-40,PHY,0x00994448,0x048,0x00000001,0x000000ff,PHY_CMN_CLK_CFG0,PLL clock generation kick
0055,D8M3-70,MMCC,0x008c2124,0x124,0x00000200,0x00000700,BYTE0_CFG_RCGR,Select DSI0 PLL Byte Mux
0056,D8M3-70,MMCC,0x008c2120,0x120,0x00000001,0x00000001,BYTE0_CMD_RCGR,Trigger Byte0 update
0057,D8M3-70,MMCC,0x008c233c,0x33c,0x00000001,0x00000001,BYTE0_CBCR,Enable mdss_byte0_clk
0058,D8M3-80,MMCC,0x008c2004,0x004,0x00000200,0x00000700,PCLK0_CFG_RCGR,Select DSI0 PLL Pixel Mux
0059,D8M3-80,MMCC,0x008c2000,0x000,0x00000001,0x00000001,PCLK0_CMD_RCGR,Trigger Pclk0 update
0060,D8M3-80,MMCC,0x008c2314,0x314,0x00000001,0x00000001,PCLK0_CBCR,Enable mdss_pclk0_clk
0061,D8M3-90,MMCC,0x008c2164,0x164,0x00000000,0x00000700,ESC0_CFG_RCGR,Select XO as Esc0 source
0062,D8M3-90,MMCC,0x008c2160,0x160,0x00000001,0x00000001,ESC0_CMD_RCGR,Trigger Esc0 update
0063,D8M3-90,MMCC,0x008c2344,0x344,0x00000001,0x00000001,ESC0_CBCR,Enable mdss_esc0_clk
0064,D8M3-B0,PHY,0x00994440,0x040,0x000006ff,0x0000ffff,DL0_STRENGTH_CTRL,Data lane 0 drive strength
0065,D8M3-B0,PHY,0x009944c0,0x0c0,0x000006ff,0x0000ffff,DL1_STRENGTH_CTRL,Data lane 1 drive strength
0066,D8M3-B0,PHY,0x00994540,0x140,0x000006ff,0x0000ffff,DL2_STRENGTH_CTRL,Data lane 2 drive strength
0067,D8M3-B0,PHY,0x009945c0,0x1c0,0x000006ff,0x0000ffff,DL3_STRENGTH_CTRL,Data lane 3 drive strength
0068,D8M3-B0,PHY,0x00994640,0x240,0x000000ff,0x0000ffff,CLK_STRENGTH_CTRL,Clock lane drive strength
